SAMPLE_CODE,COLLECTION_DATE,COLLECTION_SITE,STATUS,SAMPLE_LOCATION,DAY_1_DATE,SCIENTIST,DNA_YIELD,ELUTION_VOLUME_UL,NOTES
extraction blank,NA,NA,extracted,Yi -80,,MTW,0,75,
B32-1G,07-03-2025,B32,extracted,Yi -80,10/08/2025,MTW,0.592,75,
B32-1H,07-03-2025,B32,extracted,Yi -80,10/08/2025,MTW,0.33,75,
B35-1A,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,0.604,75,
B35-1B,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,0.531,75,
B35-1C,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,0.457,75,
B35-1D,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,0.36,75,
B35-1E,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,0.672,75,
B35-1F,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,0.56,75,
B35-1G,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,0.413,75,
B35-1H,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,0.388,75,
B35-2A,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,0.684,75,
extraction blank,NA,NA,extracted,Yi -80,10/08/2025,MTW,0,75,
B32-2A,07-03-2025,B32,,Yi -80,10/15/2025,MTW,0.27,75,
B32-2B,07-03-2025,B32,,Yi -80,10/15/2025,MTW,0.432,75,
B32-2C,07-03-2025,B32,,Yi -80,10/15/2025,MTW,0.341,75,
B32-2D,07-03-2025,B32,,Yi -80,10/15/2025,MTW,0.352,75,
B32-2E,07-03-2025,B32,,Yi -80,10/15/2025,MTW,0.21,75,
B32-2F,07-03-2025,B32,,Yi -80,10/15/2025,MTW,0.336,75,
B32-2G,07-03-2025,B32,,Yi -80,10/15/2025,MTW,0.286,75,
B32-2H,07-03-2025,B32,,Yi -80,10/15/2025,MTW,0.236,75,
B35-2B,06-30-2025,B35,,Yi -80,10/15/2025,MTW,0.949,75,
B35-2C,06-30-2025,B35,,Yi -80,10/15/2025,MTW,0.567,75,
B35-2D,06-30-2025,B35,,Yi -80,10/15/2025,MTW,0.838,75,
extraction blank,NA,NA,,Yi -80,10/15/2025,MTW,0,75,
B35-2E,06-30-2025,B35,,Yi -80,11/04/2025,MTW,0.487,75,
B35-2F,06-30-2025,B35,,Yi -80,11/04/2025,MTW,0.537,75,
B35-2G,06-30-2025,B35,,Yi -80,11/04/2025,MTW,0.604,75,
B35-2H,06-30-2025,B35,,Yi -80,11/04/2025,MTW,0.547,75,
B09-2A,06-29-2025,B09,,Yi -80,11/04/2025,MTW,1.01,75,
B09-2B,06-29-2025,B09,,Yi -80,11/04/2025,MTW,0.813,75,
B09-2C,06-29-2025,B09,,Yi -80,11/04/2025,MTW,0.699,75,
B09-2D,06-29-2025,B09,,Yi -80,11/04/2025,MTW,1.17,75,
B09-2E,06-29-2025,B09,,Yi -80,11/04/2025,MTW,1.4,75,
B09-2F,06-29-2025,B09,,Yi -80,11/04/2025,MTW,0.689,75,
B09-2G,06-29-2025,B09,,Yi -80,11/04/2025,MTW,1.04,75,
extraction blank,NA,NA,,Yi -80,11/04/2025,MTW,0,75,
B09-2H,06-29-2025,B09,,Yi -80,11/05/2025,MTW,1.18,75,
B09-1A,06-29-2025,B09,,Yi -80,11/05/2025,MTW,0.678,75,
B09-1B,06-29-2025,B09,,Yi -80,11/05/2025,MTW,0.541,75,
B09-1C,06-29-2025,B09,,Yi -80,11/05/2025,MTW,0.383,75,
B09-1D,06-29-2025,B09,,Yi -80,11/05/2025,MTW,0.577,75,
B09-1E,06-29-2025,B09,,Yi -80,11/05/2025,MTW,0.623,75,
B09-1F,06-29-2025,B09,,Yi -80,11/05/2025,MTW,0.664,75,
B09-1G,06-29-2025,B09,,Yi -80,11/05/2025,MTW,0.541,75,
B09-1H,06-29-2025,B09,,Yi -80,11/05/2025,MTW,1.22,75,
B06-2A,06-26-2025,B06,,Yi -80,11/05/2025,MTW,0.61,75,
B06-2B,06-26-2025,B06,,Yi -80,11/05/2025,MTW,0.313,75,
extraction blank,NA,NA,,Yi -80,11/05/2025,MTW,0,75,
B06-2C,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.421,75,
B06-2D,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.327,75,
B06-2E,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.549,75,
B06-2F,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.399,75,
B06-2G,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.417,75,
B06-2H,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.421,75,
B06-1A,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.371,75,
B06-1B,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.265,75,
B06-1C,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.383,75,
B06-1D,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.409,75,
B06-1E,06-26-2025,B06,,Yi -80,11/11/2025,MTW,0.274,75,
extraction blank,NA,NA,,Yi -80,11/11/2025,MTW,0,75,
B06-1F,06-26-2025,B06,,Yi -80,11/24/2025,MTW,0.562,75,
B06-1G,06-26-2025,B06,,Yi -80,11/24/2025,MTW,0.39,75,
B06-1H,06-26-2025,B06,,Yi -80,11/24/2025,MTW,0.58,75,
FW-1A,07-08-2025,FW,,Yi -80,11/24/2025,MTW,3.18,75,
FW-1B,07-08-2025,FW,,Yi -80,11/24/2025,MTW,2.08,75,low after incubator
FW-1C,07-08-2025,FW,,Yi -80,11/24/2025,MTW,3.15,75,
FW-1D,07-08-2025,FW,,Yi -80,11/24/2025,MTW,3.78,75,
FW-1F,07-08-2025,FW,,Yi -80,11/24/2025,MTW,2.1,75,
FW-1G,07-08-2025,FW,,Yi -80,11/24/2025,MTW,1.87,75,low after incubator
FW-1H,07-08-2025,FW,,Yi -80,11/24/2025,MTW,5,75,
extraction blank,NA,NA,,Yi -80,11/24/2025,MTW,0,75,
FW-2A,07-08-2025,FW,,Yi -80,12/15/2025,MTW,1.19,,
FW-2B,07-08-2025,FW,,Yi -80,12/15/2025,MTW,1.26,,
FW-2C,07-08-2025,FW,,Yi -80,12/15/2025,MTW,1.7,,
FW-2D,07-08-2025,FW,,Yi -80,12/15/2025,MTW,0.881,,
FW-2E,07-08-2025,FW,,Yi -80,12/15/2025,MTW,0.572,,
FW-2F,07-08-2025,FW,,Yi -80,12/15/2025,MTW,1.65,,
FW-2G,07-08-2025,FW,,Yi -80,12/15/2025,MTW,1.05,,
FW-2H,07-08-2025,FW,,Yi -80,12/15/2025,MTW,0.644,,
extraction blank,NA,NA,,Yi -80,12/15/2025,MTW,0,,
